2023-08-01 17:03:01 [INF] main.go:18 | start seelong
2024-01-17 18:00:43 [INF] config.go:34 | Begin Seelog
2024-01-17 18:00:43 [INF] config.go:52 | recreate table users
2024-01-17 18:02:04 [INF] config.go:34 | Begin Seelog
2024-01-17 18:02:04 [INF] config.go:52 | recreate table users
2024-01-17 18:10:37 [INF] config.go:34 | Begin Seelog
2024-01-17 18:10:37 [INF] config.go:52 | recreate table users
2024-01-17 18:11:19 [INF] config.go:34 | Begin Seelog
2024-01-17 18:11:19 [INF] config.go:52 | recreate table users
2024-01-20 19:10:57 [INF] config.go:43 | Begin Seelog
2024-01-20 19:10:57 [INF] config.go:61 | recreate table users
2024-01-20 19:20:09 [INF] config.go:43 | Begin Seelog
2024-01-20 19:20:09 [INF] config.go:61 | recreate table users
2024-01-22 15:14:24 [INF] config.go:43 | Begin Seelog
2024-01-22 15:14:24 [INF] config.go:61 | recreate table users
2024-01-22 16:20:20 [INF] config.go:43 | Begin Seelog
2024-01-22 16:20:20 [INF] config.go:61 | recreate table users
2024-01-22 17:19:31 [INF] config.go:43 | Begin Seelog
2024-01-22 17:19:31 [INF] config.go:61 | recreate table users
2024-01-22 17:19:55 [INF] config.go:43 | Begin Seelog
2024-01-22 17:19:55 [INF] config.go:61 | recreate table users
2024-01-22 18:49:29 [INF] config.go:43 | Begin Seelog
2024-01-22 18:49:29 [INF] config.go:61 | recreate table users
2024-01-22 18:49:50 [INF] main.go:31 | See you next time at 8080 !
2024-01-22 18:49:53 [INF] config.go:43 | Begin Seelog
2024-01-22 18:49:53 [INF] config.go:61 | recreate table users
2024-01-22 18:50:14 [INF] main.go:31 | See you next time at 8080 !
2024-01-22 18:50:17 [INF] config.go:43 | Begin Seelog
2024-01-22 18:50:17 [INF] config.go:61 | recreate table users
2024-01-23 14:38:45 [INF] config.go:43 | Begin Seelog
2024-01-23 14:38:45 [INF] config.go:61 | recreate table users
2024-01-23 17:00:35 [INF] config.go:43 | Begin Seelog
2024-01-23 17:00:35 [INF] config.go:61 | recreate table users
2024-01-24 15:15:50 [INF] config.go:43 | Begin Seelog
2024-01-24 15:15:50 [INF] config.go:61 | recreate table users
2024-01-25 17:12:55 [INF] config.go:43 | Begin Seelog
2024-01-25 17:12:55 [INF] config.go:61 | recreate table users
2024-01-25 18:35:13 [INF] config.go:43 | Begin Seelog
2024-01-25 18:35:13 [INF] config.go:61 | recreate table users
2024-01-25 18:54:21 [INF] config.go:43 | Begin Seelog
2024-01-25 18:54:21 [INF] config.go:61 | recreate table users
2024-01-25 19:02:32 [INF] config.go:43 | Begin Seelog
2024-01-25 19:02:32 [INF] config.go:61 | recreate table users
2024-01-25 19:04:38 [INF] config.go:43 | Begin Seelog
2024-01-25 19:04:38 [INF] config.go:61 | recreate table users
2024-01-25 19:07:47 [INF] config.go:43 | Begin Seelog
2024-01-25 19:07:47 [INF] config.go:61 | recreate table users
2024-01-25 19:09:40 [INF] config.go:43 | Begin Seelog
2024-01-25 19:09:40 [INF] config.go:61 | recreate table users
2024-01-25 19:16:17 [INF] config.go:43 | Begin Seelog
2024-01-25 19:16:17 [INF] config.go:61 | recreate table users
2024-01-25 19:18:41 [INF] config.go:43 | Begin Seelog
2024-01-25 19:18:41 [INF] config.go:61 | recreate table users
2024-01-25 19:26:11 [INF] config.go:43 | Begin Seelog
2024-01-25 19:26:11 [INF] config.go:61 | recreate table users
2024-01-26 10:29:30 [INF] config.go:43 | Begin Seelog
2024-01-26 10:29:30 [INF] config.go:61 | recreate table users
2024-01-29 13:51:34 [INF] config.go:43 | Begin Seelog
2024-01-29 13:51:34 [INF] config.go:61 | recreate table users
2024-01-29 16:17:47 [INF] config.go:43 | Begin Seelog
2024-01-29 16:17:47 [INF] config.go:61 | recreate table users
2024-01-29 16:33:41 [INF] config.go:43 | Begin Seelog
2024-01-29 16:33:41 [INF] config.go:61 | recreate table users
2024-02-21 09:45:22 [INF] config.go:43 | Begin Seelog
2024-02-21 09:45:23 [INF] config.go:61 | recreate table users
2024-02-21 10:15:28 [INF] config.go:43 | Begin Seelog
2024-02-21 10:15:28 [INF] config.go:59 | table users already exists
2024-02-21 10:33:59 [INF] config.go:43 | Begin Seelog
2024-02-21 10:33:59 [INF] config.go:59 | table users already exists
2024-02-21 10:38:59 [INF] config.go:43 | Begin Seelog
2024-02-21 10:38:59 [INF] config.go:59 | table users already exists
2024-02-21 17:32:25 [INF] config.go:43 | Begin Seelog
2024-02-21 17:32:25 [INF] config.go:59 | table users already exists
2024-02-22 08:42:35 [INF] config.go:43 | Begin Seelog
2024-02-22 08:42:35 [INF] config.go:59 | table users already exists
2024-02-22 08:46:37 [INF] config.go:43 | Begin Seelog
2024-02-22 08:46:37 [INF] config.go:59 | table users already exists
2024-02-22 14:24:36 [INF] config.go:43 | Begin Seelog
2024-02-22 14:24:36 [INF] config.go:59 | table users already exists
2024-02-22 16:14:07 [INF] config.go:46 | Begin Seelog
2024-02-22 16:14:07 [INF] config.go:62 | table users already exists
2024-02-22 16:30:08 [INF] config.go:46 | Begin Seelog
2024-02-22 16:30:08 [INF] config.go:62 | table users already exists
2024-02-22 16:52:56 [INF] config.go:46 | Begin Seelog
2024-02-22 16:52:56 [INF] config.go:60 | create table users
2024-02-22 17:17:40 [INF] config.go:46 | Begin Seelog
2024-02-22 17:17:40 [INF] config.go:62 | table users already exists
2024-02-22 17:31:31 [INF] config.go:46 | Begin Seelog
2024-02-22 17:31:31 [INF] config.go:62 | table users already exists
2024-02-22 17:42:15 [INF] config.go:46 | Begin Seelog
2024-02-22 17:42:15 [INF] config.go:62 | table users already exists
2024-02-23 08:32:19 [INF] config.go:46 | Begin Seelog
2024-02-23 08:32:19 [INF] config.go:62 | table users already exists
2024-02-23 14:44:05 [INF] config.go:46 | Begin Seelog
2024-02-23 14:44:05 [INF] config.go:62 | table users already exists
2024-02-23 17:12:35 [INF] config.go:46 | Begin Seelog
2024-02-23 17:12:35 [INF] config.go:62 | table users already exists
2024-02-23 17:32:09 [INF] config.go:46 | Begin Seelog
2024-02-23 17:32:09 [INF] config.go:62 | table users already exists
